Year,State:,final_didnotvote_weight,final_didvote_weight,segment_size,voterturnout,standard_error
2006,Wyoming,26351.079199999996,58755.82139999997,85106.90059999996,0.6903767025443762,0.0015848110549597008
2008,Alabama,245855.65720000005,541917.9676,787773.6248,0.6879107786041734,0.0005220411333955475
2008,Alaska,12707.539399999998,48290.03689999999,60997.576299999986,0.7916714044915257,0.0016443362560626237
2008,Arizona,298630.08520000003,585833.8176000002,884463.9028000003,0.6623603470366524,0.0005028446439936747
2008,Arkansas,172302.04500000007,336779.9779,509082.0229000001,0.6615436467025949,0.0006631880717581786
2008,California,1324416.8487000002,2909059.7570999973,4233476.605799997,0.6871562141419403,0.00022534240416186946
2008,Colorado,119687.4821,456005.8982000001,575693.3803000001,0.7920985611513728,0.0005348385982064674
2008,Connecticut,135294.42829999997,425238.00459999987,560532.4328999999,0.7586322925151116,0.0005715508464068859
2008,Delaware,35870.64289999999,101477.28249999993,137347.92539999992,0.7388337479759267,0.001185279678835501
2008,District of Columbia,37926.304499999984,46720.61909999997,84646.92359999995,0.5519470420541072,0.00170925866468802
2008,Florida,847632.3762999999,2194300.213600001,3041932.589900001,0.7213507034592556,0.00025705580300487794
2008,Georgia,312396.82409999997,782276.0155000008,1094672.8396000008,0.7146208320888354,0.00043162520580155867
2008,Hawaii,81025.1795,139212.2950000001,220237.4745000001,0.6321008507568953,0.0010275713097145074
2008,Idaho,58104.6542,176763.51649999985,234868.17069999984,0.7526073710761864,0.0008903597707118481
2008,Illinois,544081.3856999999,1185137.2448999994,1729218.6305999993,0.6853599793155039,0.0003531355161606679
2008,Indiana,281966.5076999998,538399.6137,820366.1213999998,0.6562918673204001,0.0005243720765728965
2008,Iowa,100042.28139999999,366389.90439999977,466432.18579999974,0.7855159132545436,0.0006010087243142788
2008,Kansas,106685.84909999998,302164.0439,408849.893,0.7390586351455888,0.0006867979155981873
2008,Kentucky,225240.9208,436591.05529999995,661831.9761,0.659670537335949,0.0005824242443098063
2008,Louisiana,169366.66869999998,469374.6469000001,638741.3156000001,0.7348430975677441,0.0005523142823375128
2008,Maine,45605.098500000015,193563.92640000005,239169.02490000008,0.8093185414830865,0.0008032699328796317
2008,Maryland,240281.33349999995,563556.2372000004,803837.5707000004,0.7010822307163904,0.0005105945745380256
2008,Massachusetts,240629.96799999994,765830.9010000008,1006460.8690000006,0.7609147306053886,0.000425153695365094
2008,Michigan,331500.12789999996,1207410.469399999,1538910.5972999989,0.7845877931560071,0.0003313975041659445
2008,Minnesota,107215.24159999996,647161.0243000006,754376.2659000006,0.8578756431684817,0.00040202440404131707
2008,Mississippi,111642.75379999999,275269.9758000002,386912.7296000002,0.7114523631325881,0.0007284087680168049
2008,Missouri,237460.26299999992,664278.5937999997,901738.8567999996,0.7366640450177837,0.00046381994993898075
2008,Montana,36713.9826,147049.25209999998,183763.23469999997,0.8002104030224714,0.000932737029384393
2008,Nebraska,63566.06450000001,203466.4868,267032.55130000005,0.7619538734489857,0.0008241624006376776
2008,Nevada,121906.47750000001,242332.0573,364238.5348,0.6653114213548609,0.0007818797950386248
2008,New Hampshire,49929.411499999995,161048.2633000001,210977.6748000001,0.7633426780945831,0.000925340336908699
2008,New Jersey,339863.6558999999,851268.4430000004,1191132.0989000003,0.7146717343828943,0.0004137573646640253
2008,New Mexico,66520.8064,207284.8087,273805.6151,0.7570509780242999,0.0008195943669658691
2008,New York,942235.0442000001,1804041.563300004,2746276.607500004,0.656904536991364,0.0002864748359695262
2008,North Carolina,540826.5797000001,1036980.2809,1577806.8606000002,0.6572289085532703,0.00037786224675847696
2008,North Dakota,32890.40869999998,85336.01279999997,118226.42149999994,0.7218015373999966,0.001303253776131735
2008,Ohio,445130.77039999986,1255856.7625000002,1700987.5329,0.7383103862959537,0.0003370250383380397
2008,Oklahoma,219905.8567,377561.1418000002,597466.9985000002,0.6319363960652298,0.0006239376039178262
